0,1
2,1
3,0
4,3
4,0
4,1
5,4
5,1
5,3
6,2
6,1
6,0
7,2
7,6
7,1
8,1
8,7
8,5
9,0
9,6
9,4
10,6
10,7
10,4
11,9
11,0
11,6
12,6
12,11
12,7
13,0
13,6
13,5
14,11
14,12
14,9
15,14
15,11
15,9
16,6
16,2
16,10
17,6
17,11
17,10
18,8
18,7
18,1
19,17
19,18
19,6
20,9
20,4
20,6
21,11
21,14
21,17
22,9
22,18
22,6
23,0
23,8
23,9
24,1
24,11
24,22
25,20
25,7
25,5
26,6
26,0
26,20
27,19
27,3
27,10
28,7
28,8
28,10
29,5
29,3
29,4
30,9
30,12
30,20
31,2
31,6
31,16
32,22
32,24
32,5
33,25
33,5
33,20
34,2
34,1
34,31
35,11
35,22
35,15
36,23
36,31
36,9
37,14
37,35
37,28
38,9
38,22
38,20
39,22
39,35
39,32
40,20
40,4
40,37
41,2
41,8
41,7
42,4
42,37
42,5
43,38
43,29
43,33
44,0
44,1
44,3
45,23
45,36
45,0
46,40
46,4
46,20
47,16
47,6
47,31
48,29
48,4
48,3
49,20
49,40
49,38
50,38
50,44
50,43
51,41
51,8
51,20
52,24
52,35
52,11
53,44
53,0
53,40
54,12
54,18
54,9
55,24
55,32
55,36
56,49
56,46
56,24
57,7
57,1
57,17
58,4
58,9
58,21
59,43
59,18
59,48
60,10
60,6
60,17
61,4
61,48
61,5
62,40
62,49
62,37
63,44
63,53
63,22
64,29
64,21
64,43
65,12
65,7
65,14
66,37
66,44
66,28
67,30
67,12
67,9
68,48
68,29
68,59
69,28
69,8
69,37
70,49
70,38
70,40
71,16
71,31
71,2
72,54
72,12
72,9
73,59
73,49
73,43
74,5
74,42
74,29
75,73
75,56
75,21
76,66
76,73
76,54
77,51
77,41
77,8
78,29
78,70
78,48
79,54
79,9
79,66
80,33
80,43
80,5
81,15
81,14
81,30
82,36
82,55
82,9
83,64
83,29
83,6
84,43
84,82
84,64
85,13
85,0
85,81
86,67
86,9
86,74
87,22
87,35
87,32
88,53
88,44
88,63
89,3
89,51
89,44
90,58
90,46
90,28
91,49
91,56
91,38
92,52
92,34
92,54
93,13
93,0
93,6
94,52
94,92
94,35
95,35
95,62
95,52
96,21
96,75
96,29
97,87
97,16
97,22
98,59
98,90
98,94
99,61
99,20
99,65
100,62
100,11
100,29
101,21
101,7
101,96
102,84
102,93
102,43
103,54
103,72
103,79
104,37
104,40
104,62
105,81
105,15
105,85
106,64
106,84
106,1
107,39
107,90
107,22
108,0
108,96
108,13
109,67
109,96
109,12
110,52
110,92
110,35
111,42
111,74
111,37
112,78
112,67
112,70
113,37
113,14
113,104
114,70
114,112
114,40
115,75
115,96
115,73
116,104
116,40
116,62
117,32
117,103
117,39
118,117
118,58
118,103
119,20
119,33
119,4
120,66
120,103
120,97
121,22
121,107
121,39
122,4
122,10
122,42
123,9
123,36
123,6
124,47
124,6
124,31
125,85
125,86
125,81
126,68
126,69
126,29
127,11
127,66
127,6
128,96
128,67
128,75
129,63
129,44
129,53
130,92
130,54
130,110
131,49
131,56
131,17
132,50
132,104
132,12
133,22
133,113
133,69
134,42
134,114
134,5
135,87
135,97
135,22
136,83
136,6
136,134
137,59
137,73
137,68
138,41
138,2
138,126
139,24
139,55
139,32
140,104
140,132
140,107
141,33
141,119
141,43
142,110
142,35
142,130
143,92
143,8
143,110
144,93
144,6
144,2
145,61
145,4
145,48
146,142
146,56
146,49
147,39
147,121
147,107
148,125
148,86
148,81
149,95
149,7
149,35
150,38
150,50
150,91
151,90
151,46
151,52
152,2
152,34
152,71
153,9
153,79
153,77
154,67
154,30
154,128
155,43
155,59
155,58
156,84
156,43
156,106
157,58
157,110
157,116
158,104
158,140
158,116
159,49
159,33
159,146
160,59
160,48
160,137
161,33
161,43
161,95
162,128
162,67
162,154
163,139
163,55
163,24
164,12
164,109
164,137
165,71
165,31
165,2
166,76
166,54
166,0
167,78
167,79
167,112
168,134
168,136
168,5
169,75
169,56
169,149
170,132
170,50
170,140
171,138
171,2
171,41
172,9
172,79
172,4
173,33
173,119
173,20
174,5
174,3
174,42
175,86
175,74
175,9
176,151
176,85
176,141
177,14
177,21
177,12
178,45
178,0
178,127
179,105
179,124
179,85
180,0
180,53
180,108
181,130
181,110
181,54
182,28
182,63
182,37
183,35
183,14
183,11
184,119
184,99
184,20
185,107
185,90
185,147
186,129
186,51
186,44
187,157
187,116
187,14
188,161
188,170
188,33
189,102
189,93
189,43
190,162
190,53
190,128
191,22
191,32
191,24
192,85
192,0
192,125
193,39
193,22
193,134
194,5
194,41
194,8
195,151
195,170
195,52
196,94
196,184
196,52
197,193
197,39
197,22
198,73
198,99
198,76
199,181
199,50
199,54
200,21
200,75
200,58
201,15
201,105
201,64
202,27
202,10
202,159
203,133
203,69
203,113
204,109
204,164
204,67
205,30
205,67
205,58
206,186
206,175
206,51
207,93
207,0
207,13
208,99
208,28
208,159
209,199
209,54
209,190
210,3
210,72
210,89
211,27
211,66
211,202
212,185
212,147
212,107
213,159
213,146
213,33
214,149
214,7
214,169
215,40
215,53
215,4
216,146
216,156
216,213
217,216
217,146
217,156
218,60
218,67
218,6
219,103
219,79
219,3
220,123
220,36
220,9
221,180
221,0
221,108
222,17
222,60
222,6
223,11
223,14
223,17
224,54
224,181
224,18
225,159
225,46
225,146
226,168
226,5
226,136
227,124
227,47
227,6
228,166
228,0
228,76
229,191
229,22
229,24
230,218
230,6
230,67
231,91
231,56
231,38
232,213
232,33
232,216
233,108
233,96
233,180
234,160
234,59
234,137
235,209
235,190
235,76
236,111
236,15
236,74
237,146
237,106
237,56
238,53
238,194
238,0
239,160
239,143
239,234
240,38
240,70
240,150
241,149
241,107
241,214
242,235
242,76
242,209
243,44
243,130
243,54
244,184
244,99
244,20
245,186
245,44
245,129
246,27
246,129
246,41
247,109
247,12
247,204
248,163
248,24
248,65
249,161
249,188
249,95
250,170
250,195
250,5
251,233
251,96
251,108
252,27
252,19
252,211
253,38
253,91
253,148
254,23
254,8
254,144
255,125
255,81
255,148
256,129
256,228
256,44
257,224
257,136
257,61
258,221
258,68
258,0
259,54
259,9
259,18
260,155
260,58
260,59
261,48
261,228
261,61
262,134
262,5
262,168
263,96
263,233
263,251
264,48
264,78
264,145
265,97
265,16
265,22
266,97
266,22
266,25
267,245
267,229
267,186
268,1
268,2
268,34
269,223
269,17
269,11
270,176
270,141
270,85
271,20
271,68
271,40
272,260
272,58
272,155
273,76
273,166
273,228
274,142
274,35
274,146
275,24
275,22
275,246
276,275
276,246
